,0
aa,2.864679628852087
aaa,0.5486337541185583
aam,0.4695902807395432
aampm,0.5012262791232441
aaron,0.4067125903900013
ab,9.922897412448725
abadania,0.599527829735621
abal,0.3434310117318615
abandon,1.3042515680619082
abaout,0.4911057705440237
abbey,0.46082741576964975
abbeyf,0.46736510558074834
abbot,0.49254755280477425
abbotsford,1.107457626905875
abc,2.409247246789434
abd,1.0588652462823347
abduct,55.57373497134744
abducte,0.8413668244044856
abductedagain,0.5321538622430042
abductio,0.40940244838387585
abductioin,0.5623841981673613
abductionmiss,0.8556866995072298
abductionvisit,0.7107943837009378
abductuin,0.41715903981371705
abercarn,0.6003800332505722
aberdeen,3.916703081012609
aberdeenmd,0.469269057110813
aberdeenscotlandveri,0.6426420177258018
abergaveni,0.4421232157095585
abia,0.2352557722335401
abil,11.742837270829659
abilen,7.838384933118356
abilenetx,0.9868300990722179
abingdon,1.2137620667344602
abington,0.7167633242955118
abit,0.5982670147721204
abject,2.4682550953320264
abl,28.38268681726301
ablat,0.40647312424568793
ablavan,0.22001750932375544
ablink,0.6358783244650656
ablitit,0.6233922466956145
ablong,1.1932732179898742
abluish,0.6664575526733809
abnorm,15.990806009531685
abnormali,1.575684677610353
abo,10.905439020591222
aboar,0.4206125121862579
aboard,4.344138993977412
aboardspect,0.4469602155694393
abondon,0.4069310938899571
aboout,0.3999121008325599
abord,0.46644409010564764
abot,1.494729512941774
abotu,0.5254722251293381
abou,7.8928011114708125
abour,1.015824167213979
abourt,0.4727884966561112
aboutft,0.42603544181521935
aboutftoff,0.3968221410319318
abouth,0.7872663888647964
aboutlook,0.46080235208191106
aboutquot,0.8905158835413413
abov,794.3571222402253
abovea,0.4409310159356985
abovebi,0.49836798277060096
abovebright,0.47868540442594193
abovec,0.6077176647650784
abovelik,0.5135879123009282
abovenear,0.5008727370897189
abovequot,0.5493705650147023
abow,0.6267865134065924
abpov,0.38746861769897967
abq,2.7993650212132666
abraham,0.5079155228067169
abras,0.5172786611172815
abreast,1.4196873534026682
abright,0.8378663875168975
abrir,0.22205459437329378
abroutli,0.5992220385748819
abrubt,0.5705312304186935
abrubtli,0.9668213583598054
abrudtli,0.7050536528088029
abrupt,17.800106926218596
abruptli,34.3791188782127
abrutli,0.5867496035942684
absecon,0.4200916654426243
absegami,0.5127026088552493
absenc,1.1632315143770042
absens,0.49518549639901566
absent,1.710731426126741
abserv,2.5046230019141817
abslout,0.6103325272956748
absolut,27.676739228945685
absolutley,2.329000330965642
absolutli,1.8552475960184824
absorb,1.7266235573967008
absoult,0.42605474925801323
absurdli,0.5930824651968801
absurv,0.3729647962712596
abt,3.71023319149665
abu,1.162190150449938
abuct,0.4393324837821253
abuelo,0.2609128859818068
abundanc,0.4635168198395476
abus,0.38635920221170733
abuv,0.3137981041769062
abv,0.5334289098087001
abysshov,0.39680171681933407
ac,14.169506985251601
acad,0.33860957922579127
academi,4.0727222032803665
